广东联通,#genre#
阳江-2,http://58.248.112.203:8006/GD_CUCC/yangjiang2.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0v5SKjmx%2Bf9rV7a%2BVqIH%2BalMWytDyvI6xZTqY01Qn02&p=GITV&area=GD_CUCC&gMac=

华视美达,#genre#
1,http://60.223.224.176:8888/newlive/live/hls/1/live.m3u8
2,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8
3,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8
4,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8
5,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8
6,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8
7,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8
8,http://60.223.224.176:8888/newlive/live/hls/8/live.m3u8
9,http://60.223.224.176:8888/newlive/live/hls/9/live.m3u8
10,http://60.223.224.176:8888/newlive/live/hls/10/live.m3u8
11,http://60.223.224.176:8888/newlive/live/hls/11/live.m3u8
12,http://60.223.224.176:8888/newlive/live/hls/12/live.m3u8
13,http://60.223.224.176:8888/newlive/live/hls/13/live.m3u8
14,http://60.223.224.176:8888/newlive/live/hls/14/live.m3u8
15,http://60.223.224.176:8888/newlive/live/hls/15/live.m3u8
16,http://60.223.224.176:8888/newlive/live/hls/16/live.m3u8
17,http://60.223.224.176:8888/newlive/live/hls/17/live.m3u8
18,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8
19,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8
20,http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
21,http://60.223.224.176:8888/newlive/live/hls/21/live.m3u8
22,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8
23,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
24,http://60.223.224.176:8888/newlive/live/hls/24/live.m3u8
25,http://60.223.224.176:8888/newlive/live/hls/25/live.m3u8
26,http://60.223.224.176:8888/newlive/live/hls/26/live.m3u8
27,http://60.223.224.176:8888/newlive/live/hls/27/live.m3u8
28,http://60.223.224.176:8888/newlive/live/hls/28/live.m3u8
29,http://60.223.224.176:8888/newlive/live/hls/29/live.m3u8
30,http://60.223.224.176:8888/newlive/live/hls/30/live.m3u8
31,http://60.223.224.176:8888/newlive/live/hls/31/live.m3u8
32,http://60.223.224.176:8888/newlive/live/hls/32/live.m3u8
33,http://60.223.224.176:8888/newlive/live/hls/33/live.m3u8
34,http://60.223.224.176:8888/newlive/live/hls/34/live.m3u8
35,http://60.223.224.176:8888/newlive/live/hls/35/live.m3u8
36,http://60.223.224.176:8888/newlive/live/hls/36/live.m3u8
37,http://60.223.224.176:8888/newlive/live/hls/37/live.m3u8
38,http://60.223.224.176:8888/newlive/live/hls/38/live.m3u8
