广东银河,#genre#
上海纪实,http://58.248.112.203:8006/GD_CUCC/G_SHANGHAIJS-HD.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQj2XjEQPCgsjHTwYM82OKTDOiUY95VhcXyXoILoOEQ09&p=GITV&area=GD_CUCC&gMac=
四川卫视,http://58.248.112.203:8006/GD_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQihysHnFVsdNiy%2FnVMuA%2F2vUSDOaiaG5q3bH%2B9SZ8YzW&p=GITV&area=GD_CUCC&gMac=
西藏卫视,http://58.248.112.203:8006/GD_CUCC/G_XIZANG.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQm5xJi6IZzxtPaR9ZUfN6GQxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
新疆卫视,http://58.248.112.203:8006/GD_CUCC/G_XINJIANG.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQmmnJuPEAKhgJMCpgAXmh1ukZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
延边卫视,http://58.248.112.203:8006/GD_CUCC/G_YANBIAN.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQmHR%2B7yd%2FgH9%2BfSrGbhdo1hFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
云南卫视,http://58.248.112.203:8006/GD_CUCC/G_YUNNAN-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQnH8Fl3lFssAO2mpD6DqekAE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
重庆卫视,http://58.248.112.203:8006/GD_CUCC/G_CHONGQING-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQi5XA1hsd3RREgysPiqqJeQacwVhEfitjiQgne%2FQ8fyt&p=GITV&area=GD_CUCC&gMac=
青海卫视,http://58.248.112.203:8006/GD_CUCC/G_QINGHAI.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQvEq%2Bw5evwYhrE0KZP%2Bdn7pFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
厦门卫视,http://58.248.112.203:8006/GD_CUCC/G_XIAMEN.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQmNEq7g%2BGxfoZtcSK4HpA%2BwxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=


其他频道,#genre#
CETV-1,http://58.248.112.203:8006/GD_CUCC/G_CETV-1-HQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQsbJQ2nb3CUdJxlM0UjRwnUE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
CETV-2,http://58.248.112.203:8006/GD_CUCC/G_CETV-2.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQnsf%2BpbhSNzOo%2FrDYGjmqt0xftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
CETV-3,http://58.248.112.203:8006/GD_CUCC/G_CETV-3.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQt0C3kCNC2wIGgkCgJdcluwxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
CETV-4,http://58.248.112.203:8006/GD_CUCC/G_CETV-4.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQh7brsNvN5EqwhDyUXWAqAcxftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
CGTN俄语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-PYCCNN.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQhMcyzTIO6uk1vbuc%2F1pP8MSyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
CGTN西班牙语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-ESPANOL.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQurjCl9SrL2xMoAnaLQjVYoacwVhEfitjiQgne%2FQ8fyt&p=GITV&area=GD_CUCC&gMac=
CGTN法语频道,http://58.248.112.203:8006/GD_CUCC/G_CGTN-FRANCAIS.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQkXZ4k2I2F%2BmA1iESQA8yYHOiUY95VhcXyXoILoOEQ09&p=GITV&area=GD_CUCC&gMac=
CGTN阿拉伯语,http://58.248.112.203:8006/GD_CUCC/G_CGTN_A.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQm4zivbCTva1%2Bm1o%2BCsg694xftOEuDEh46K5CPLT9El7&p=GITV&area=GD_CUCC&gMac=
发现之旅,http://58.248.112.203:8006/GD_CUCC/G_FAXIANZL.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQjaTcYv0Wjk5A0qj0p2polikZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
老故事,http://58.248.112.203:8006/GD_CUCC/G_LAOGUSHI.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQmTOM6d20RnVdAJuZGVHwGqkZKT1aJqQtQitEjomIG%2B6&p=GITV&area=GD_CUCC&gMac=
北京奥运纪实,http://58.248.112.203:8006/GD_CUCC/G_BEIJINGJS-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQlqqd8HLKWN9yv5NoaCSBtwacwVhEfitjiQgne%2FQ8fyt&p=GITV&area=GD_CUCC&gMac=
家庭理财,http://58.248.112.203:8006/GD_CUCC/G_JIATINGLC.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQs%2FiRxQhfLj0nkKLOT%2F6UO4E6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
金鹰卡通,http://58.248.112.203:8006/GD_CUCC/G_JINYING.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQiAQTvh7DmPtriDZVINKk7FFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
卡酷少儿,http://58.248.112.203:8006/GD_CUCC/G_KAKU.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQrz8F%2BYGlwbDzznG8NhE3FUCMNY12od21KDWX9YFDv6w&p=GITV&area=GD_CUCC&gMac=
女性时尚,http://58.248.112.203:8006/GD_CUCC/G_NVXINGSS-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQj6%2FGriC8y3OKTsyZWzciYsSyslgpv6EDx6DE4F5QaEw&p=GITV&area=GD_CUCC&gMac=
